object name,RA (in degree),DEC (in degree),g magnitude,i magnitude,r magnitude
manga-8239-12701 ,115.387474,47.871006,17.520172262532718,16.489628015080264,16.88967801053407
manga-8241-6102  ,126.05963,17.331951,18.475852734058787,16.838981527605295,17.381350087507442
manga-8241-9102  ,127.1708,17.5814,18.676088808650995,17.247875549524338,17.688487692319722
manga-8244-6103  ,130.99644,51.090263,18.384188111428237,16.855356166027157,17.30389657161729
manga-8245-3703  ,135.64542,20.738344,16.9832646365189,15.652079759918058,16.07654992586434
manga-8247-6103  ,136.71999,41.408253,19.29853429258513,17.674937308925855,18.19400135737333
manga-8247-9102  ,137.44128,41.955868,18.516544105254418,16.688757029772137,17.326728229898354
manga-8249-3704  ,137.87476,45.46832,18.086513463347117,16.739011450688793,17.251912489079462
manga-8250-12704 ,138.98138,44.33276,17.585621786531018,16.523876902154893,16.876433225187366
manga-8250-6101  ,138.75314,42.02439,17.776990934360253,17.10840241857484,17.43590529133418
manga-8252-9102  ,145.54153,48.012863,18.95906098168018,17.227558522895972,17.887421889805864
manga-8253-12703 ,159.38272,43.653763,19.32625182488463,17.56147693631542,18.17295617994052
manga-8254-6101  ,163.2499,43.048615,19.379200272613733,17.818840822884525,18.413124002360444
manga-8255-12704 ,165.11774,44.260967,16.12806807784485,15.495267503314679,15.806322119228794
manga-8257-12701 ,165.49582,45.228024,18.018112482478056,16.48291465628854,17.04474097527998
manga-8257-3703  ,166.6557,46.038776,17.630258530279185,16.74250598191495,17.15326828887943
manga-8260-6101  ,182.40875,42.009666,17.483371026024248,16.287046196198542,16.696921064229517
manga-8260-9101  ,182.28673,44.003166,19.571336236730968,18.463981682427413,18.85014994780402
manga-8262-12704 ,185.47505,45.26768,16.24766694933252,15.76054071808457,15.952363846484491
manga-8262-9102  ,184.55356,44.17324,16.65180651203876,15.470855928756306,15.884901457085572
manga-8311-3703  ,205.01218,23.142973,17.208612639983595,15.92528835588406,16.3837616214535
manga-8311-6104  ,205.28273,23.282055,17.751437006342776,16.775856153519467,17.17004724065844
manga-8313-12702 ,240.67741,41.19726,18.760470997517835,17.185537953930464,17.621437723605244
manga-8314-6104  ,244.00218,39.49763,17.702083369120675,16.33433405315605,16.73734789414327
manga-8315-12702 ,234.88333,38.163715,18.1158699066239,16.72036779745827,17.20273610391297
manga-8317-6102  ,194.92503,43.75318,18.58158358412085,17.152427271181963,17.650274245611257
manga-8317-6103  ,193.2702,44.96035,18.91906681662507,17.437972210426985,17.930224008832116
manga-8318-12702 ,196.44403,46.461857,18.281111243754168,16.96247356973461,17.54476201923351
manga-8318-6102  ,197.23932,45.905445,18.265224720417674,17.542643444974527,17.81465861328283
manga-8318-9101  ,196.08629,45.05666,17.594223517391193,17.02706571190852,17.25402549127816
manga-8320-9101  ,206.31386,23.316513,17.285859669172314,16.22804048873087,16.603227619080485
manga-8322-3701  ,199.06648,30.264532,18.583688687256473,16.890416008388932,17.503366213374495
manga-8324-12701 ,197.81342,46.7007,19.56299813288111,17.927684750917322,18.475018397606313
manga-8325-12704 ,211.99176,47.906403,17.49288448678941,16.542634483186404,16.99612160515544
manga-8326-6102  ,215.01791,47.12133,18.83629358328035,17.22721766096982,17.841625368900072
manga-8328-9101  ,208.54976,44.208027,18.812889324353613,17.669985737228167,17.955230212492076
manga-8329-6102  ,211.90486,44.48227,17.477521332240734,16.172795754035413,16.537772898048075
manga-8331-9101  ,203.98819,41.60465,18.313178177866355,17.07611225789754,17.666838051189636
manga-8332-12704 ,209.16357,43.58564,17.44340908331045,16.594925790649874,16.890745433804856
manga-8332-3702  ,207.8728,43.806427,18.876328619924465,17.173948405760047,17.824647721971317
manga-8332-9102  ,210.24095,42.855644,18.533805470133615,17.022114730879995,17.485945504446306
manga-8333-6103  ,214.46466,43.41824,19.037566231110773,17.463225622653848,17.978612260378764
manga-8333-9102  ,215.07263,43.062798,18.567501746720765,16.985257560470863,17.560933052804952
manga-8334-12704 ,214.15764,40.216293,18.455296786761565,16.965049817120022,17.541009620706024
manga-8334-3702  ,212.37608,41.11093,17.77930681004485,16.43158875798991,16.844294974170833
manga-8335-6103  ,215.96472,40.25883,17.57943413801434,16.199849164395612,16.665347026495088
manga-8336-6104  ,211.24313,38.634212,19.449412408042466,17.847408441289293,18.436520186973446
manga-8337-12701 ,212.50975,38.70644,18.879306800482418,17.431568583281297,17.922577758140704
manga-8337-1901  ,214.09645,38.190987,17.28428442412107,16.078487457746583,16.504662156480435
manga-8337-6104  ,213.45494,37.269066,17.375823431003727,16.50229114932982,16.863439416980786
manga-8341-12704 ,189.21326,45.65117,18.06419799005359,16.816771474062943,17.20602700171071
manga-8438-12702 ,149.75093,17.81714,18.671829070913525,17.2269829179482,17.654963646897432
manga-8438-12703 ,149.31839,19.11422,17.19778585373808,15.946498773608635,16.23724799301694
manga-8439-6102  ,142.77817,49.079746,17.848589245226464,16.467943843018716,16.945364195734573
manga-8440-12701 ,135.06511,40.296738,19.154027820068794,17.246068931073584,17.875528644378907
manga-8440-9101  ,134.2735,40.013714,18.502124780673277,17.35557359336416,17.755198002356607
manga-8443-3704  ,207.58386,24.93594,17.826887660008254,16.770729914258773,17.16586347294393
manga-8444-12703 ,201.4111,33.68043,18.09233555878117,16.757692114616205,17.183340223199792
manga-8446-12704 ,206.20287,37.163223,17.50428446131574,16.488535183123375,16.78842942997219
manga-8446-1901  ,205.75334,36.165657,17.884897230957794,16.519740722863823,16.937786073876232
manga-8447-6103  ,206.17303,40.4673,16.846165765327896,15.528773551244232,15.921315669749278
manga-8449-1901  ,167.42166,21.740376,18.816042449713795,17.201695233857805,17.676109446744384
manga-8450-3701  ,171.72545,21.295252,17.660653074204625,16.303626273934803,16.777371291555067
manga-8452-3702  ,156.29802,47.73908,17.939127866463846,16.762908471435527,17.259299258200862
manga-8454-12702 ,153.04903,45.14216,18.65127087260995,17.16738646928696,17.65673022496309
manga-8455-12703 ,157.72327,41.221096,17.701837357605747,16.723382909197337,17.126469177994856
manga-8455-3701  ,157.17946,39.838886,19.037814282067664,17.793184730225917,18.201172440826973
manga-8458-12701 ,144.7878,45.370842,17.656139051839546,16.364424470656726,16.808488345208882
manga-8458-12705 ,147.18182,44.081436,17.870525417062616,16.57090947459325,17.071352645950775
manga-8459-3702  ,146.7091,43.423843,17.220059779139746,16.17315552111698,16.542577695834783
manga-8464-3704  ,188.10783,44.18362,18.410140667358014,16.954961393483458,17.575677910374537
manga-8464-6101  ,186.181,44.41077,16.834424879848683,16.362545988261715,16.57656978038978
manga-8465-3701  ,195.31932,48.060184,16.79167890849721,16.768550137403466,17.030030874771093
